Identifier,Original ARK/DOI,Work Title,Minted DOI,Status,Reason,URL
et001054.jpg,,ET 1-54,https://doi.org/10.60807/o19oy2,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46604~1256106
et001039.jpg,,ET 1-39,https://doi.org/10.60807/12y6w0,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46596~1256114
et001027.jpg,,ET 1-27,https://doi.org/10.60807/15wm98,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46590~1256120
et001035.jpg,,ET 1-35,https://doi.org/10.60807/dqmzza,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46594~1256116
et001031.jpg,,ET 1-31,https://doi.org/10.60807/1jwxoz,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46592~1256118
et001019.jpg,,ET 1-19,https://doi.org/10.60807/4j2h7d,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46585~1256125
et001021.jpg,,ET 1-21,https://doi.org/10.60807/x0hvot,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46586~1256124
et001001.jpg,,ET 1-01,https://doi.org/10.60807/v3z4tp,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46576~1256134
et001022.jpg,,ET 1-22,https://doi.org/10.60807/qfuf1f,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46587~1256123
et001009.jpg,,ET 1-09,https://doi.org/10.60807/10uufk,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46580~1256130
et001011.jpg,,ET 1-11,https://doi.org/10.60807/uhv0tf,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46581~1256129
et001023.jpg,,ET 1-23,https://doi.org/10.60807/ofxwdp,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46588~1256122
et001029.jpg,,ET 1-29,https://doi.org/10.60807/h2ug2p,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46591~1256119
et001017.jpg,,ET 1-17,https://doi.org/10.60807/ahd6me,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46584~1256126
et001013.jpg,,ET 1-13,https://doi.org/10.60807/6gcpyl,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46582~1256128
et001015.jpg,,ET 1-15,https://doi.org/10.60807/yw10h4,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46583~1256127
et001025.jpg,,ET 1-25,https://doi.org/10.60807/ces0s6,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46589~1256121
et001007.jpg,,ET 1-07,https://doi.org/10.60807/2xq1u0,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46579~1256131
et001003.jpg,,ET 1-03,https://doi.org/10.60807/a6nh3u,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46577~1256133
et001005.jpg,,ET 1-05,https://doi.org/10.60807/aqfmbp,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46578~1256132
et003021.jpg,,ET 3-21,https://doi.org/10.60807/ctul6a,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46659~1256051
et003017.jpg,,ET 3-17,https://doi.org/10.60807/m90hwg,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46657~1256053
et003029.jpg,,ET 3-29,https://doi.org/10.60807/frip11,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46663~1256047
